relative_path;has_direct_registrar_alteracao;instantiated_repositories;repos_mutating_without_log;repos_unknown_class
app/adms/Controllers/financialReports/CashFlow.php;0;FinancialMovementsRepository;;
app/adms/Controllers/financialReports/CostCenterSummary.php;0;CostCenterSummaryRepository;;
app/adms/Controllers/financialReports/ExportPdfCashFlow.php;0;;;
app/adms/Controllers/financialReports/FlowCashCompetence.php;0;FlowCashCompetenceRepository;;
app/adms/Controllers/financialReports/Movements.php;0;FinancialMovementsRepository|BanksRepository|PaymentMethodsRepository;;
app/adms/Controllers/frequency/CreateFrequency.php;0;FrequencyRepository;;
app/adms/Controllers/frequency/DeleteFrequency.php;0;FrequencyRepository;;
app/adms/Controllers/frequency/ListFrequencies.php;0;FrequencyRepository;;
app/adms/Controllers/frequency/UpdateFrequency.php;0;FrequencyRepository;;
app/adms/Controllers/frequency/ViewFrequency.php;0;FrequencyRepository;;
app/adms/Controllers/gamification/CreateGamificationQuiz.php;0;GamificationQuizRepository;GamificationQuizRepository;
app/adms/Controllers/gamification/CreateGamificationQuizQuestion.php;0;GamificationQuizRepository;GamificationQuizRepository;
app/adms/Controllers/gamification/DeleteGamificationQuiz.php;0;GamificationQuizRepository;GamificationQuizRepository;
app/adms/Controllers/gamification/DeleteGamificationQuizQuestion.php;0;GamificationQuizRepository;GamificationQuizRepository;
app/adms/Controllers/gamification/GamificationEngagementDashboard.php;0;GamificationProgramRepository;GamificationProgramRepository;
app/adms/Controllers/gamification/GamificationLeaderboard.php;0;GamificationLedgerRepository|GamificationProgramRepository;GamificationLedgerRepository|GamificationProgramRepository;
app/adms/Controllers/gamification/GamificationQuizCatalog.php;0;ButtonPermissionUserRepository|GamificationQuizRepository;GamificationQuizRepository;
app/adms/Controllers/gamification/ListGamificationPointLedger.php;0;GamificationLedgerRepository;GamificationLedgerRepository;
app/adms/Controllers/gamification/ListGamificationQuizQuestions.php;0;GamificationQuizRepository;GamificationQuizRepository;
app/adms/Controllers/gamification/ListGamificationQuizzes.php;0;GamificationQuizRepository;GamificationQuizRepository;
app/adms/Controllers/gamification/ListGamificationTimelineRules.php;0;GamificationProgramRepository|GamificationTimelineRulesRepository|ButtonPermissionUserRepository;GamificationProgramRepository|GamificationTimelineRulesRepository;
app/adms/Controllers/gamification/SubmitGamificationQuizAttempt.php;0;ButtonPermissionUserRepository|GamificationQuizRepository;GamificationQuizRepository;
app/adms/Controllers/gamification/TakeGamificationQuiz.php;0;ButtonPermissionUserRepository|GamificationQuizRepository;GamificationQuizRepository;
app/adms/Controllers/gamification/UpdateGamificationQuiz.php;0;GamificationQuizRepository;GamificationQuizRepository;
app/adms/Controllers/gamification/UpdateGamificationQuizQuestion.php;0;GamificationQuizRepository;GamificationQuizRepository;
app/adms/Controllers/gamification/UpdateGamificationTimelineRule.php;0;GamificationTimelineRulesRepository;GamificationTimelineRulesRepository;
app/adms/Controllers/groupsPages/CreateGroupPage.php;0;GroupsPagesRepository;;
