erp_code;description;is_pa;inv_item_id;batches;mp_lines;mae_lines;hh_per_batch;hm_per_batch;power_kw_route;production_line;energy_class;complexity;driver_6;share_criterion_6_pct;pendencias;edit_url
41000103;"OLEO DE LINHACA DOURADA FR X 60 CAPSULAS SOFTGEL";SIM;3663;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3663
44000002;"OLEO DE MENTA 181,60MG CAP MOLE LIB RETARD BL AL PLAS";SIM;3801;3;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3801
41000090;"OLEO DE SEMENTE DE ABOBORA + VIT E  FR X 60 CAPSULAS SOFTGEL";SIM;179;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/179
41000044;"OMEGA 3 1000MG CAP MOLE FR PET LAR X 210";SIM;20;4;0;4;0;0;0;;;media;160.0000;2.0476;sem_rota_hh_hm|sem_linha|sem_classe_energia;http://localhost/administrativo/update-inventory-item/20
41000104;"OMEGA 3 FR X 120 CAPSULAS SOFTGEL";SIM;1452;3;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/1452
41000105;"OMEGA 3 FR X 60 CAPSULAS SOFTGEL";SIM;187;5;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/187
43000023;"OMEGA 3 GF 1000MG CAP MOLE FR PET OPC X 60";SIM;3229;7;0;6;0.0060;0;0;;;media;420.0000;5.3748;sem_linha|sem_classe_energia;http://localhost/administrativo/update-inventory-item/3229
41000119;"OMEGA 3 ULTRA DHA FR X 60 CAPSULAS SOFTGEL";SIM;199;3;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/199
41000052;"OMEGA PLUS 1250MG CAP MOLE FR PET LAR X 210";SIM;43;4;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/43
41000098;"OMEGA PLUS 3,6,9 FR  X 60 CAPSULAS SOFTGEL";SIM;206;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/206
43000119;"PANT FORT CT BL X 04 CAPSULAS SOFTGEL";SIM;1550;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/1550
43000120;"PANT FORT CT BL X 60 CAPSULAS SOFTGEL";SIM;3472;4;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3472
41500027;"PICOLINATO DE CROMO 250 MCG + VIT.E FR X 60 COMP";SIM;4352;3;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4352
43000037;"PRESERVIT CAP MOLE CT BL AL PLAS X 60";SIM;;1;0;0;0;0;0;;;;0.0000;0.0000;sem_cadastro|driver_6_zero;
43000038;"PRETEN 11 G PO CT SACHE LAM X 2";SIM;;7;0;0;0;0;0;;;;0.0000;0.0000;sem_cadastro|driver_6_zero;
43000039;"PRETEN 11 G PO CT SACHE LAM X 30";SIM;;33;0;0;0;0;0;;;;0.0000;0.0000;sem_cadastro|driver_6_zero;
43000082;"PRIMIA L. ACIDOPHILUS NCFM 1BI CT BL AL PLAST X 10";SIM;3511;8;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3511
43000088;"PROBIOTICO GF8 PLUS CT BL AL PLAST X 10";SIM;3544;5;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3544
40500052;"PROBIOTICO PRODUO 10Bi - 15 CAPSULAS";SIM;4163;1;6;7;0.3092;0.0853;0;;;media;130.0000;1.6636;sem_linha|sem_classe_energia;http://localhost/administrativo/update-inventory-item/4163
43000084;"PROHN FIBRAS STICK X 02 AG";SIM;3419;11;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3419
